state,district,slots,today,Total doses til date,avgdaily,today 18,avgdaily 18-44,Total doses til date 18
Maharashtra,Wardha,1768,1497,194082,988,262,132,29899
Maharashtra,Gondia,59,3355,168710,2123,245,156,35619
Maharashtra,Gadchiroli,1006,1968,85864,1466,367,142,34616
Maharashtra,Chandrapur,0,7291,240465,1655,1040,293,51860
Maharashtra,Osmanabad,0,0,169774,3137,0,493,35736
Maharashtra,Nanded,50,921,288515,906,251,155,58651
Maharashtra,Latur,0,3430,244501,2531,700,648,57897
Maharashtra,Beed,0,4229,233887,3387,330,195,43984
Maharashtra,Parbhani,100,3212,174684,1888,382,251,40211
Maharashtra,Hingoli,0,1857,85733,961,261,169,22390
Maharashtra,Nandurbar,770,3472,151094,2578,894,725,50900
Maharashtra,Dhule,0,2358,194949,2452,620,414,46174
Maharashtra,Nashik,25,12113,636566,4032,2649,833,121454
Maharashtra,Jalgaon,29,12883,350908,6416,2270,968,71784
Maharashtra,Ahmednagar,10,15365,433079,4362,1517,803,82533
Maharashtra,Thane,232,13715,1046969,7046,6178,4063,235480
Maharashtra,Raigad,0,2631,274035,4624,1471,1629,73011
Maharashtra,Palghar,300,952,208256,864,941,580,57020
Maharashtra,Mumbai,748,22933,1959856,15392,23849,12145,442534
Maharashtra,Jalna,0,2659,192325,1811,875,341,53775
Maharashtra,Aurangabad ,24,2958,365578,2629,773,424,92812
Manipur,Bishnupur,74,48,23931,173,8,111,6433
Manipur,Chandel,0,2,5325,3,2,56,4407
Manipur,Churachandpur,0,14,19828,89,33,375,12358
Manipur,Imphal East,0,331,61271,229,212,589,25005
Manipur,Imphal West,0,547,63276,720,884,1002,31042
Manipur,Senapati,0,48,3104,28,10,88,3345
Manipur,Tamenglong,0,6,3626,26,19,49,2871
Manipur,Thoubal,0,297,28731,166,6,293,10806
Manipur,Ukhrul,89,2,4472,23,143,115,3682
Manipur,Tengnoupal,0,0,3425,13,0,122,3797
Manipur,Kangpokpi,0,16,6237,25,0,82,3438
Manipur,Kamjong,0,8,1465,18,24,120,2182
Manipur,Jiribam,0,33,2621,53,143,77,2742
Manipur,Pherzawl,0,0,2477,12,0,74,1403
Manipur,Noney,0,3,2967,2,0,45,2588
Manipur,Kakching,421,90,15257,150,6,145,4635
Meghalaya,East Khasi Hills,0,311,68850,323,1166,1085,45030
Meghalaya,South West Khasi Hills,0,80,6516,67,312,221,5689
Meghalaya,West Jaintia Hills,0,57,18857,62,360,288,13426
Meghalaya,Ri-Bhoi,0,76,17785,88,695,539,12999
Meghalaya,East Jaintia Hills,0,13,11107,24,268,219,8649
Meghalaya,West Khasi Hills,0,78,21111,91,436,328,13340
Meghalaya,West Garo Hills,19,61,53742,72,436,321,13999
Meghalaya,South Garo Hills,170,85,10142,62,46,76,4602
Meghalaya,South West Garo Hills,0,1,19312,99,193,120,4521
Meghalaya,North Garo Hills,0,20,11744,26,213,100,3066
Meghalaya,East Garo Hills,350,170,10362,45,95,125,5687
Mizoram,Aizawl East,0,32,54633,46,397,289,17131
Mizoram,Aizawl West,98,175,38604,64,278,137,8466
Mizoram,Mamit,0,0,13520,7,38,40,2917
Mizoram,Kolasib,0,84,15033,20,216,65,3235
Mizoram,Champhai,0,0,25273,18,10,2,3227
Mizoram,Serchhip,0,59,13380,33,91,80,3470
Mizoram,Lunglei,0,40,27922,28,10,74,5942
Mizoram,Lawngtlai,0,0,10589,0,0,57,3824
Mizoram,Siaha,0,0,8742,48,0,34,1599
Nagaland,Dimapur,196,77,38623,93,252,397,21142
Nagaland,Peren,98,19,4193,11,107,130,3715
Nagaland,Wokha,0,6,10260,3,6,168,4799
Nagaland,Mokokchung,0,10,19224,21,24,162,6010
Nagaland,Longleng,0,3,5430,12,1,118,2484
Nagaland,Mon,0,24,16322,27,5,232,6442
Nagaland,Tuensang,100,22,7771,31,55,119,4833
Nagaland,Kohima,193,108,18882,65,25,207,11027
Nagaland,Zunheboto,100,2,7440,9,0,69,3044
Nagaland,Phek,193,20,7489,40,1,126,5267
Nagaland,Kiphire,0,2,2851,2,3,65,2321
Odisha,Angul,0,0,109188,846,0,43,11573
Odisha,Khurda,1949,5592,462675,2841,6679,4223,217656
Odisha,Balasore,0,0,333202,2016,0,34,17868
Odisha,Balangir,17,979,124162,648,41,24,15289
Odisha,Ganjam,0,2164,512126,1370,8920,7216,127931
Odisha,Kandhamal,164,312,86614,206,14,11,10765
Odisha,Koraput,0,996,192902,953,4622,2073,35822
Odisha,Sambalpur,0,317,130174,785,11718,8315,93623
Odisha,Sundargarh,0,9,218297,721,11728,8220,104516
Odisha,Bhadrak,0,0,175515,472,2,5,9048
Odisha,Kendujhar,0,0,185185,814,0,56,16067
Odisha,Mayurbhanj,0,0,234524,737,0,15,21548
Odisha,Cuttack,0,601,333344,1732,13559,6762,113202
Odisha,Dhenkanal,0,522,129677,849,4,5,9549
Odisha,Jagatsinghpur,0,0,131766,308,0,2,8327
Odisha,Jajpur,0,0,184675,509,14,130,14329
Odisha,Kendrapara,0,0,170110,1392,0,12,8060
Odisha,Nayagarh,0,1470,109506,959,1,7,7269
Odisha,Puri,0,5978,224033,2245,4811,2655,34230
Odisha,Kalahandi,0,163,169087,128,5686,1464,24114
Odisha,Nuapada,0,172,61672,105,24,24,6083
Odisha,Subarnapur,0,92,70031,431,0,3,6090
Odisha,Gajapati,0,320,61259,220,78,45,8522
Odisha,Boudh,0,103,49127,151,7,12,4456
Odisha,Malkangiri,164,76,60656,164,45,65,10849
Odisha,Nabarangpur,389,383,109759,247,4728,2307,26523
Odisha,Rayagada,154,580,108042,513,10,58,12808
Odisha,Bargarh,0,1325,163223,962,4965,2152,28074
Odisha,Deogarh,0,44,33777,145,9,25,5423
Odisha,Jharsuguda,0,412,70723,563,1,6,7313
Puducherry,Puducherry,655,469,111320,434,1786,1409,48469
Puducherry,Karaikal,295,72,20045,114,206,162,4012
Puducherry,Mahe,0,20,12847,69,103,106,2361
Puducherry,Yanam,0,27,5457,27,84,91,1444
Punjab,Kapurthala,0,502,92841,582,55,83,13882
Punjab,Ferozpur,37,379,61278,500,249,205,18586
Punjab,Hoshiarpur,0,904,237666,1069,209,343,46634
Punjab,Mansa,4591,207,37972,163,116,75,17643
Punjab,Barnala,1897,381,45475,342,218,196,13385
Punjab,Fatehgarh Sahib,0,378,39861,281,92,97,11735
Punjab,Amritsar,1147,1448,225277,1490,1036,888,55210
Punjab,Pathankot,14,306,128503,402,262,392,16936
Punjab,Fazilka,689,335,65499,340,193,210,16692
Punjab,Ludhiana,132,1311,435356,3111,594,588,104218
Punjab,Gurdaspur,596,996,250913,1251,482,410,44636
Punjab,Sri Muktsar Sahib,545,456,63667,456,206,286,18011
Punjab,Moga,598,390,70777,452,105,86,12063
Punjab,Jalandhar,0,466,348738,1969,193,441,51217
Punjab,Bathinda,38,532,84106,591,551,477,34445
Punjab,Patiala,0,760,199801,1309,202,177,45780
Punjab,Tarn Taran,889,299,83139,348,53,108,17663
Punjab,SAS Nagar,40,1077,164123,1247,3756,3913,192464
Punjab,Rup Nagar,0,289,55222,476,40,47,10128
Punjab,Sangrur,0,435,95206,530,194,256,25562
Punjab,Faridkot,557,239,68524,442,99,149,15954
Punjab,SBS Nagar,0,354,97619,316,97,97,17070
Rajasthan,Bikaner,0,869,403165,1371,351,2219,114205
Rajasthan,Jodhpur,0,3161,564254,2770,698,2355,133859
Rajasthan,Kota,0,669,352349,790,992,2796,129634
Rajasthan,Udaipur,1903,1098,412301,1077,3281,2023,121997
Rajasthan,Jaipur I,0,1615,706257,2020,1857,4838,202235
Rajasthan,Jaipur II,0,1200,423815,1095,4195,3911,122793
Rajasthan,Ajmer,0,3293,476943,1406,132,2443,107372
Rajasthan,Bharatpur,0,267,359701,1121,358,1853,89476
Rajasthan,Sri Ganganagar,0,1208,322163,989,184,1722,56284
Rajasthan,Jhunjhunu,7,244,416940,1364,61,1397,58498
Rajasthan,Dausa,227,1423,195003,1160,130,1075,37236
Rajasthan,Alwar,24,6,670060,1822,495,2944,156352
Rajasthan,Sikar,0,3049,431640,2628,109,2038,114496
Rajasthan,Bundi,35,123,242724,190,145,1117,34258
Rajasthan,Jhalawar,0,153,205593,172,197,1137,40713
Rajasthan,Baran,0,120,194064,432,93,1255,34830
Rajasthan,Hanumangarh,0,6099,251398,1937,463,1738,49687
Rajasthan,Rajsamand,0,371,193704,517,597,1219,31900
Rajasthan,Banswara,0,228,271721,691,91,1423,42330
Rajasthan,Dungarpur,9,165,174409,189,1251,716,29362
Rajasthan,Chittorgarh,0,233,278384,392,1886,1319,39724
Rajasthan,Pratapgarh,188,314,92112,367,299,1732,44185
Rajasthan,Bhilwara,45,920,370028,1019,1170,2464,91009
Rajasthan,Dholpur,0,180,193321,187,128,1444,48207
Rajasthan,Karauli,394,242,229395,336,8,1291,28698
Rajasthan,Tonk,0,868,188602,1231,150,1250,32719
Rajasthan,Jaisalmer,479,283,85232,287,866,760,29253
Rajasthan,Barmer,0,520,407638,1114,896,1297,56183
Rajasthan,Pali,10,861,322554,1032,129,1308,78605
Rajasthan,Churu,0,4513,287081,1784,95,1467,48479
Rajasthan,Sirohi,0,132,156148,283,377,1253,29984
Rajasthan,Nagaur,10,682,677497,1103,51,1426,75037
Rajasthan,Jalore,0,283,231962,650,183,1196,33017
Rajasthan,Sawai Madhopur,0,447,184456,485,56,1665,43278
Sikkim,East Sikkim,0,73,70334,49,652,938,22041
Sikkim,West Sikkim,0,0,31235,32,0,21,3965
Sikkim,North Sikkim,0,0,8561,6,0,3,2273
Sikkim,South Sikkim,0,21,37420,42,10,12,3230
Tamil Nadu,Coimbatore,104,4500,320280,2347,7190,7194,110891
Tamil Nadu,Madurai,0,3300,176704,1403,10563,3106,58881
Tamil Nadu,Thanjavur,87,1137,104222,811,3745,1647,35344
Tamil Nadu,Viluppuram,180,494,89163,584,2075,980,26280
Tamil Nadu,Vellore,626,1347,106059,355,4287,1464,49616
Tamil Nadu,Kanyakumari,0,2564,86437,762,7886,4237,50817
Tamil Nadu,Salem,266,503,141205,396,8825,4046,63007
Tamil Nadu,Pudukkottai,1732,574,46266,509,1453,774,12261
Tamil Nadu,Cuddalore,266,871,116531,638,2172,748,23944
Tamil Nadu,Tirunelveli,0,788,54459,457,5171,1757,28342
Tamil Nadu,Virudhunagar,19,314,67183,294,1896,884,20258
Tamil Nadu,Tirupattur,0,772,56119,438,3635,1288,20447
Tamil Nadu,Tenkasi,1534,84,44437,231,4414,1465,22690
Tamil Nadu,Kallakurichi,115,541,43271,323,3297,1455,19884
Tamil Nadu,Tiruvannamalai,0,271,41826,227,1227,925,17104
Tamil Nadu,Thoothukudi (Tuticorin),50,789,36874,615,3135,1236,17856
Tamil Nadu,Ariyalur,476,365,34554,355,924,651,16889
Tamil Nadu,Dindigul,551,697,59232,320,3555,1322,22055
Tamil Nadu,Kanchipuram,331,186,49368,228,3133,1230,23093
Tamil Nadu,Namakkal,275,1216,117508,689,7227,3065,42471
Tamil Nadu,Karur,0,695,50814,610,2538,2481,28298
Tamil Nadu,Tiruchirappalli,43,2533,173136,1388,8647,3538,57515
Tamil Nadu,Sivaganga,1463,323,50043,382,2875,1114,23542
Tamil Nadu,Krishnagiri,0,1147,112279,752,6005,2208,35749
Tamil Nadu,Erode,0,806,115855,808,6618,4275,49051
Tamil Nadu,Palani,0,804,46981,370,2970,1342,21720
Tamil Nadu,Chengalpet,0,1491,196539,745,9323,3085,58641
Tamil Nadu,Dharmapuri,0,1045,67519,643,4771,1834,31605
Tamil Nadu,Ramanathapuram,740,115,25269,223,764,326,8992
Tamil Nadu,Tiruppur,1,1876,113001,1053,12977,4886,53254
Tamil Nadu,Theni,410,658,45099,342,1381,547,14132
Tamil Nadu,Perambalur,1188,293,28499,307,926,689,10979
Tamil Nadu,Chennai,746,5522,1025161,5006,25093,15443,362744
Tamil Nadu,Tiruvallur,0,670,92847,501,5942,2271,43909
Tamil Nadu,Paramakudi,0,0,36866,318,1979,866,10980
Tamil Nadu,Tiruvarur,2193,324,34204,315,3749,1452,17587
Tamil Nadu,Poonamallee,148,761,47324,476,2979,1228,17812
Tamil Nadu,Nagapattinam,246,451,46020,440,4244,2104,24416
Tamil Nadu,Nilgiris,3236,792,112857,529,696,1273,24951
Tamil Nadu,Attur,1640,637,113813,605,2296,1622,27758
Tamil Nadu,Sivakasi,260,669,82064,479,2138,1706,23529
Telangana,Hyderabad,45,3560,568135,984,5880,1236,115359
Telangana,Adilabad,0,439,43801,18,31,3,6572
Telangana,Bhadradri Kothagudem,0,1115,103121,249,40,6,13472
Telangana,Jagtial,0,1373,117071,35,54,0,6955
Telangana,Jangaon,0,687,52162,17,24,1,3552
Telangana,Jayashankar Bhupalpally,0,793,70412,108,58,50,4391
Telangana,Jogulamba Gadwal,0,94,46225,2,1,0,4060
Telangana,Kamareddy,0,556,133677,36,33,0,9545
Telangana,Karimnagar,0,689,178714,115,110,22,13522
Telangana,Khammam,0,1302,104130,76,149,4,14196
Telangana,Kumuram Bheem,0,382,37516,12,17,0,4449
Telangana,Mahabubabad,0,652,85538,35,11,3,5777
Telangana,Mahabubnagar,0,555,84740,50,13,11,9054
Telangana,Mancherial,0,166,74063,2,16,1,8181
Telangana,Medak,0,697,98162,170,21,4,6117
Telangana,Medchal,0,2066,340541,256,1311,221,40689
Telangana,Nagarkurnool,0,128,86958,3,10,1,5143
Telangana,Nalgonda,0,226,104430,37,49,7,14353
Telangana,Nirmal,0,849,117919,115,26,2,5885
Telangana,Nizamabad,0,431,134850,16,27,5,16759
Telangana,Peddapalli,0,666,93682,17,28,1,6607
Telangana,Rajanna Sircilla,0,666,99878,80,49,-5,5443
Telangana,Rangareddy,0,1842,299142,696,1375,279,53944
Telangana,Sangareddy,0,1453,117935,48,150,0,14777
Telangana,Siddipet,0,1968,187834,106,103,1,12794
Telangana,Suryapet,0,842,114236,172,47,10,9575
Telangana,Vikarabad,0,41,53693,12,20,1,7589
Telangana,Wanaparthy,0,150,46224,8,5,0,4031
Telangana,Warangal(Rural),0,614,48679,24,30,4,4250
Telangana,Warangal(Urban),0,1789,148447,104,516,74,24602
Telangana,Yadadri Bhuvanagiri,0,3420,156020,223,91,-5,8511
Telangana,Mulugu,0,973,51034,266,19,-1,3571
Telangana,Narayanpet,0,153,28043,21,16,1,3413
Tripura,Dhalai,0,256,81037,388,2,12,11501
Tripura,Gomati,422,332,85583,398,158,113,9989
Tripura,Khowai,0,34,64916,160,24,18,6757
Tripura,North Tripura,0,76,102846,41,13,9,8316
Tripura,Sepahijala,0,121,113305,103,27,60,10922
Tripura,South Tripura,0,0,126488,1305,0,135,12651
Tripura,Unakoti,114,100,60131,149,42,31,5413
Tripura,West Tripura,437,1177,275338,1110,212,2065,87666
Uttar Pradesh,Agra,268,1728,241475,1666,10420,7016,124657
Uttar Pradesh,Aligarh,108,1420,169208,1362,6921,4855,91197
Uttar Pradesh,Prayagraj,854,1655,275474,1545,8977,7242,167150
Uttar Pradesh,Ambedkar Nagar,288,502,95767,555,55,60,14683
Uttar Pradesh,Amethi,1759,2737,116934,1006,25,57,10486
Uttar Pradesh,Amroha,399,1215,81153,810,21,113,10404
Uttar Pradesh,Auraiya,225,812,62609,572,19,3,6296
Uttar Pradesh,Azamgarh,2315,1416,173373,1091,5729,4842,74812
Uttar Pradesh,Badaun,2272,832,168514,856,13,14,15274
Uttar Pradesh,Baghpat,253,3417,128296,1741,18,9,8775
Uttar Pradesh,Bahraich,6288,3123,212645,2119,36,32,19811
Uttar Pradesh,Balarampur,2777,1771,170052,1275,47,13,12185
Uttar Pradesh,Ballia,1537,677,143511,700,9,14,14385
Uttar Pradesh,Banda,819,406,81886,243,1383,1319,24433
Uttar Pradesh,Barabanki,103,4258,153894,3591,277,173,20325
Uttar Pradesh,Bareilly,1025,1597,241313,1366,8258,6493,142308
Uttar Pradesh,Basti,921,419,146198,674,2576,2085,45211
Uttar Pradesh,Bijnour,190,2178,177364,1860,22,6,18256
Uttar Pradesh,Bulandshahr,1158,6150,202192,3132,212,117,23347
Uttar Pradesh,Chandauli,2091,333,92522,447,16,31,12308
Uttar Pradesh,Chitrakoot,696,225,45176,223,9,4,4745
Uttar Pradesh,Deoria,3963,705,160426,908,32,39,14524
Uttar Pradesh,Etah,527,838,71617,590,23,23,9078
Uttar Pradesh,Etawah,173,360,81326,357,33,25,12956
Uttar Pradesh,Ayodhya,24,545,101236,624,3584,2940,60547
Uttar Pradesh,Farrukhabad,5354,215,85560,200,9,17,9643
Uttar Pradesh,Fatehpur,1157,1187,122379,847,23,18,12668
Uttar Pradesh,Firozabad,788,704,120276,662,2395,2251,51856
Uttar Pradesh,Gautam Buddha Nagar,86,2124,289849,1594,14967,10798,164821
Uttar Pradesh,Ghaziabad,130,3178,311063,2577,13766,8333,133106
Uttar Pradesh,Ghazipur,11096,2202,144084,1607,67,43,16290
Uttar Pradesh,Gonda,1846,4160,178283,2910,3502,3119,54695
Uttar Pradesh,Gorakhpur,452,1953,267580,2182,8632,6649,136470
Uttar Pradesh,Hamirpur,265,424,78902,233,76,6,5811
Uttar Pradesh,Hapur,14,1415,86131,1060,14,12,9760
Uttar Pradesh,Hardoi,7025,608,137424,515,197,76,17671
Uttar Pradesh,Hathras,3648,1103,102673,951,5,3,6868
Uttar Pradesh,Jalaun,1666,1881,99999,1168,18,9,8678
Uttar Pradesh,Jaunpur,731,2371,234549,1330,23,11,17852
Uttar Pradesh,Jhansi,126,674,104326,692,4464,3444,63480
Uttar Pradesh,Kannauj,5397,299,56276,275,29,13,8858
Uttar Pradesh,Kanpur Dehat,664,807,93208,846,83,55,8817
Uttar Pradesh,Kanpur Nagar,83,1472,310163,2198,9795,7215,143805
Uttar Pradesh,Kasganj,2890,435,59106,273,58,25,7612
Uttar Pradesh,Kaushambi,10,418,68394,425,45,4,7374
Uttar Pradesh,Kushinagar,580,2191,170174,1547,26,69,16208
Uttar Pradesh,Lakhimpur Kheri,1748,2643,143391,1190,107,102,20297
Uttar Pradesh,Lalitpur,3994,155,63071,124,7,2,5896
Uttar Pradesh,Lucknow,268,3856,424632,3062,13900,10619,249927
Uttar Pradesh,Maharajganj,1724,626,124878,529,14,13,16353
Uttar Pradesh,Mahoba,2759,524,87977,633,4,2,3922
Uttar Pradesh,Mainpuri,0,609,91653,637,7,3,10170
Uttar Pradesh,Mathura,585,3181,173913,2318,4498,3562,69210
Uttar Pradesh,Mau,424,760,91381,651,100,107,15090
Uttar Pradesh,Meerut,56,4285,321430,3296,6312,5147,122935
Uttar Pradesh,Mirzapur,234,1181,144089,1040,3268,2919,48238
Uttar Pradesh,Moradabad,144,1487,146615,1159,5705,4548,88202
Uttar Pradesh,Muzaffarnagar,2831,5575,160017,1662,236,19,14269
Uttar Pradesh,Pilibhit,1348,1389,154330,711,19,6,11524
Uttar Pradesh,Raebareli,513,358,114172,265,15,21,15189
Uttar Pradesh,Pratapgarh,3780,1488,138711,1072,18,16,12622
Uttar Pradesh,Rampur,157,804,97484,420,30,6,10795
Uttar Pradesh,Saharanpur,57,2182,211717,1945,6310,5011,89556
Uttar Pradesh,Sambhal,1764,387,85169,301,106,38,7992
Uttar Pradesh,Sant Kabir Nagar,800,784,77893,796,2,7,8951
Uttar Pradesh,Bhadohi,1171,1026,99867,885,2,7,7400
Uttar Pradesh,Shahjahanpur,1884,1027,155360,1398,2888,2640,60629
Uttar Pradesh,Shamli,603,806,82057,740,4,5,7712
Uttar Pradesh,Shravasti,2816,811,54942,765,7,10,6263
Uttar Pradesh,Siddharthnagar,9509,1370,169007,1442,1,4,14578
Uttar Pradesh,Sitapur,1390,1276,194833,1087,22,22,22046
Uttar Pradesh,Sonbhadra,341,272,77247,237,14,35,12230
Uttar Pradesh,Sultanpur,186,884,135478,1084,9,24,14426
Uttar Pradesh,Unnao,540,721,169387,862,35,7,14252
Uttar Pradesh,Varanasi,368,2522,260562,2384,8532,5367,131427
Uttarakhand,Dehradun,82,1658,359603,1550,1328,1962,85199
Uttarakhand,Pauri Garhwal,0,324,140149,265,1011,610,25134
Uttarakhand,Chamoli,0,383,90486,230,805,488,21093
Uttarakhand,Rudraprayag,0,116,52914,100,451,672,19721
Uttarakhand,Tehri Garhwal,0,623,108641,368,1020,583,22522
Uttarakhand,Haridwar,165,1757,230673,1159,435,1226,76016
Uttarakhand,Uttarkashi,39,66,74220,27,513,398,21521
Uttarakhand,Almora,87,678,123465,283,651,560,24731
Uttarakhand,Udham Singh Nagar,972,697,173599,393,775,1648,55629
Uttarakhand,Pithoragarh,1065,537,73492,363,55,296,24236
Uttarakhand,Bageshwar,73,118,59597,162,0,426,18423
Uttarakhand,Champawat,134,115,56192,73,983,505,19826
Uttarakhand,Nainital,293,1268,168602,485,2257,1107,48590
West Bengal,Alipurduar District,0,253,139679,937,3257,2428,41220
West Bengal,Bankura,6,167,189618,564,972,3143,55445
West Bengal,Basirhat HD (North 24 Parganas),0,724,219166,354,1036,506,24531
West Bengal,Birbhum,0,1321,203856,806,3433,2056,38040
West Bengal,Bishnupur HD (Bankura),0,282,68815,307,359,1148,20261
West Bengal,Dakshin Dinajpur,0,1741,157822,680,5855,2403,41042
West Bengal,Darjeeling,0,1272,222597,845,5024,2617,57416
West Bengal,Diamond Harbor HD (S 24 Parganas),185,1074,272261,1895,3856,3358,52650
West Bengal,East Bardhaman,0,2289,428686,1756,4931,2216,68400
West Bengal,Hoogly,0,3722,583026,2549,6732,4817,92303
West Bengal,Howrah,0,644,417302,1252,605,3030,77314
West Bengal,Jalpaiguri,0,1515,129950,892,4359,2483,52462
West Bengal,Jhargram,0,245,46805,338,901,715,26335
West Bengal,Kalimpong,0,635,51357,495,1211,517,9360
West Bengal,Kolkata,0,5309,1044053,2183,9474,5338,217586
West Bengal,Malda,0,416,257075,1121,2200,3433,74575
West Bengal,Murshidabad,0,3288,438989,1120,9484,3483,86465
West Bengal,Nadia,0,1955,358077,1062,12545,3551,84414
West Bengal,Nandigram HD (East Medinipore),0,3498,241665,565,860,388,24517
West Bengal,North 24 Parganas,2,6221,705689,2254,12954,3952,134522
West Bengal,Paschim Medinipore,0,3363,349902,1322,5404,2247,70565
West Bengal,Purba Medinipore,0,1057,323152,1987,1161,212,40015
West Bengal,Purulia,60,533,183035,1463,2926,1954,52767
West Bengal,Rampurhat HD (Birbhum),0,149,137094,1068,731,2530,31029
West Bengal,South 24 Parganas,0,2162,437456,2519,7203,6342,88369
West Bengal,Uttar Dinajpur,0,466,153965,630,4867,2158,46358
West Bengal,West Bardhaman,0,1940,203351,1226,5926,2887,57318
Assam,Hojai,10,1210,67876,842,119,253,17112
Assam,Biswanath,0,1499,49716,900,112,340,17738
Assam,Charaideo,0,555,32872,528,130,191,10279
Assam,Majuli,0,212,26702,190,8,150,6450
Assam,South Salmara Mankachar,313,128,6856,111,216,218,5368
Assam,West Karbi Anglong,0,125,13611,113,377,227,7660
Gujarat,Ahmedabad Corporation,0,4518,820102,4339,33427,23445,523331
Gujarat,Bhavnagar Corporation,0,277,95370,229,3640,2685,69961
Gujarat,Gandhinagar Corporation,0,641,55210,471,4258,3019,56090
Gujarat,Jamnagar Corporation,108,646,92258,455,5543,4100,70618
Gujarat,Junagadh Corporation,0,168,54039,163,118,85,11436
Gujarat,Rajkot Corporation,0,1084,241957,1070,17862,13305,222772
Gujarat,Surat Corporation,0,2924,619044,1575,19283,13887,366917
Gujarat,Vadodara Corporation,17,1864,346658,1926,19095,13660,258925
Tamil Nadu,Cheyyar,0,365,24743,266,1448,740,10209
Tamil Nadu,Aranthangi,19,541,32702,454,2064,885,9777
Tamil Nadu,Kovilpatti,349,874,33426,546,2655,1050,11754
Tamil Nadu,Ranipet,716,402,39782,216,2719,973,17762
West Bengal,COOCHBEHAR,0,1270,201643,676,3957,2548,50388
